id,bin15,bin5,historicalspeed,Location,Vehicles,currentspeed,dow,fromnodeid,navteqid,tonodeid,obstime,Signal_duration,,,,
343155862,1,3,619,Bur_Dubai,Two-Wheelers,42,2,1,1,1,101348.88,1,,,,
343155863,1,3,608,Al_Sayed_Road,Two-Wheelers,41,1,1,0,1,112542.58,0,,,,
343155864,1,3,502,Bur_Dubai,Two-Wheelers,42,8,3,1,0,113931.57,1,,,,
343155865,1,3,699,Bur_Dubai,Two-Wheelers,39,1,2,0,0,93826.63,0,,,,
343155866,1,3,850,Al_Sayed_Road,Two-Wheelers,43,2,1,1,1,79084.1,0,,,,
343155867,1,3,645,Al_Sayed_Road,Cars/Trucks,44,8,2,1,0,149756.71,1,,,,
343155868,1,3,822,Bur_Dubai,Cars/Trucks,50,7,2,1,1,10062.8,0,,,,
343155869,1,3,376,Palm_Jumeirah,Two-Wheelers,29,4,4,1,0,119346.88,1,,,,
343155870,1,3,501,Bur_Dubai,Cars/Trucks,44,4,2,0,1,74940.5,0,,,,
343155871,1,3,684,Bur_Dubai,Cars/Trucks,27,2,1,1,1,71725.73,0,,,,
343155872,1,3,528,Bur_Dubai,Cars/Trucks,31,6,2,0,0,80181.12,0,,,,
343155873,1,3,497,Al_Sayed_Road,Cars/Trucks,24,3,2,1,0,76390.01,0,,,,
343155874,1,3,476,Bur_Dubai,Two-Wheelers,34,10,2,1,0,26260.98,0,,,,
343155875,1,3,549,Bur_Dubai,Two-Wheelers,25,5,2,0,0,190857.79,0,,,,
343155876,1,3,635,Al_Sayed_Road,Two-Wheelers,35,7,2,1,1,65951.65,0,,,,
343155877,1,3,616,Palm_Jumeirah,Cars/Trucks,45,3,2,0,1,64327.26,0,,,,
343155878,1,3,653,Palm_Jumeirah,Cars/Trucks,58,1,1,1,0,5097.67,1,,,,
343155879,1,3,549,Al_Sayed_Road,Two-Wheelers,24,9,2,1,1,14406.41,0,,,,
343155880,1,3,587,Al_Sayed_Road,Cars/Trucks,45,6,1,0,0,158684.81,0,,,,
343155881,1,3,726,Bur_Dubai,Two-Wheelers,24,6,2,1,1,54724.03,0,,,,
343155882,1,3,732,Bur_Dubai,Cars/Trucks,41,8,2,1,1,170886.17,0,,,,
343155883,1,3,636,Al_Sayed_Road,Two-Wheelers,32,8,2,1,0,138555.46,0,,,,
343155884,1,3,510,Al_Sayed_Road,Two-Wheelers,38,4,1,1,0,118913.53,1,,,,
343155885,1,3,669,Bur_Dubai,Cars/Trucks,46,3,2,0,1,8487.75,0,,,,
343155886,1,3,846,Bur_Dubai,Two-Wheelers,38,5,1,1,1,187616.16,0,,,,
343155887,1,3,577,Bur_Dubai,Cars/Trucks,25,3,2,0,1,124508.29,0,,,,
343155888,1,3,756,Palm_Jumeirah,Cars/Trucks,36,2,1,1,1,170041.95,0,,,,
343155889,1,3,571,Bur_Dubai,Cars/Trucks,44,9,2,0,0,38433.35,0,,,,
343155890,1,3,574,Palm_Jumeirah,Two-Wheelers,43,3,1,1,1,100187.43,0,,,,
343155891,1,3,411,Bur_Dubai,Cars/Trucks,29,0,2,1,1,53483.21,0,,,,
343155892,1,3,591,Al_Sayed_Road,Two-Wheelers,39,3,3,1,0,140469.38,1,,,,
343155893,1,3,533,Bur_Dubai,Cars/Trucks,36,7,1,0,1,156731.91,0,,,,
343155894,1,3,553,Palm_Jumeirah,Cars/Trucks,41,9,2,0,0,81898.81,0,,,,
343155895,1,3,520,Al_Sayed_Road,Two-Wheelers,42,6,2,1,1,34410.55,0,,,,
343155896,1,3,722,Al_Sayed_Road,Two-Wheelers,29,9,2,1,1,142033.07,0,,,,
343155897,1,3,475,Bur_Dubai,Two-Wheelers,45,0,1,1,0,27822.99,1,,,,
343155898,1,3,490,Al_Sayed_Road,Cars/Trucks,31,3,1,0,1,114066.77,0,,,,
343155899,1,3,804,Al_Sayed_Road,Cars/Trucks,33,7,1,0,1,98453.45,0,,,,
343155900,1,3,850,Bur_Dubai,Cars/Trucks,36,7,1,1,1,40812.9,0,,,,
343155901,1,3,582,Palm_Jumeirah,Cars/Trucks,41,6,2,0,1,178074.04,0,,,,
343155902,1,3,472,Al_Sayed_Road,Cars/Trucks,40,4,1,1,0,70154.22,0,,,,
343155903,1,3,465,Bur_Dubai,Two-Wheelers,51,8,1,0,0,181297.65,1,,,,
343155904,1,3,556,Bur_Dubai,Two-Wheelers,61,2,1,1,1,94153.83,0,,,,
343155905,1,3,834,Bur_Dubai,Two-Wheelers,49,2,1,0,0,194365.76,1,,,,
343155906,1,3,660,Al_Sayed_Road,Two-Wheelers,61,5,1,1,1,158338.39,0,,,,
343155907,1,3,776,Palm_Jumeirah,Two-Wheelers,32,4,2,1,1,126517.46,0,,,,
343155908,1,3,829,Palm_Jumeirah,Two-Wheelers,27,9,1,1,1,119708.21,1,,,,
343155909,1,3,637,Palm_Jumeirah,Two-Wheelers,39,9,1,1,1,117622.8,1,,,,
343155910,1,3,550,Palm_Jumeirah,Cars/Trucks,38,2,1,0,1,90878.13,0,,,,
343155911,1,3,776,Palm_Jumeirah,Two-Wheelers,37,2,2,1,0,194099.12,0,,,,
343155912,1,3,698,Palm_Jumeirah,Cars/Trucks,44,10,2,1,0,198059.16,0,,,,
343155913,1,3,585,Palm_Jumeirah,Cars/Trucks,36,5,2,0,0,86424.57,0,,,,
343155914,1,3,788,Bur_Dubai,Two-Wheelers,33,5,2,0,0,116978.19,0,,,,
343155915,1,3,655,Palm_Jumeirah,Cars/Trucks,41,8,1,0,0,164040.94,1,,,,
343155916,1,3,601,Palm_Jumeirah,Cars/Trucks,42,1,1,1,0,40014.76,1,,,,
343155917,1,3,619,Bur_Dubai,Cars/Trucks,43,1,1,1,1,113410.49,0,,,,
343155918,1,3,656,Bur_Dubai,Cars/Trucks,45,5,1,1,0,87107.57,0,,,,
343155919,1,3,725,Palm_Jumeirah,Cars/Trucks,19,0,1,0,0,45613.75,0,,,,
343155920,1,3,511,Al_Sayed_Road,Two-Wheelers,66,4,1,1,0,1643.11,1,,,,
343155921,1,3,614,Bur_Dubai,Cars/Trucks,51,4,1,1,1,46775.28,0,,,,
343155922,1,3,742,Palm_Jumeirah,Cars/Trucks,35,5,1,0,0,84509.57,0,,,,
343155923,1,3,687,Palm_Jumeirah,Two-Wheelers,27,9,2,0,0,126494.82,0,,,,
343155924,1,3,555,Al_Sayed_Road,Cars/Trucks,33,1,2,0,0,178798.13,0,,,,
343155925,1,3,684,Al_Sayed_Road,Cars/Trucks,56,8,1,1,1,99398.36,0,,,,
343155926,1,3,603,Palm_Jumeirah,Cars/Trucks,26,4,1,1,1,92840.67,0,,,,
343155927,1,3,751,Palm_Jumeirah,Two-Wheelers,36,6,2,1,1,27758.36,0,,,,
343155928,1,3,581,Palm_Jumeirah,Two-Wheelers,34,1,1,1,0,110431.51,0,,,,
343155929,1,3,735,Palm_Jumeirah,Cars/Trucks,43,10,2,1,1,196673.28,0,,,,
343155930,1,3,661,Palm_Jumeirah,Two-Wheelers,35,5,2,0,1,113656.85,0,,,,
343155931,1,3,675,Bur_Dubai,Two-Wheelers,21,8,1,1,0,18203,0,,,,
343155932,1,3,738,Palm_Jumeirah,Cars/Trucks,58,2,4,1,0,28373.86,1,,,,
343155933,1,3,813,Bur_Dubai,Cars/Trucks,29,6,1,1,0,33953.87,0,,,,
343155934,1,3,657,Al_Sayed_Road,Two-Wheelers,37,0,1,0,1,44203.55,0,,,,
343155935,1,3,604,Palm_Jumeirah,Two-Wheelers,25,5,2,1,1,58426.81,0,,,,
343155936,1,3,519,Bur_Dubai,Cars/Trucks,36,9,2,0,1,145562.4,0,,,,
343155937,1,3,735,Bur_Dubai,Two-Wheelers,21,1,2,1,0,22388,0,,,,
343155938,1,3,664,Bur_Dubai,Cars/Trucks,55,8,2,1,1,139161.64,0,,,,
343155939,1,3,678,Bur_Dubai,Two-Wheelers,32,9,1,1,1,148210.64,0,,,,
343155940,1,3,757,Al_Sayed_Road,Cars/Trucks,33,5,1,0,1,194239.63,0,,,,
343155941,1,3,416,Palm_Jumeirah,Two-Wheelers,41,10,2,1,0,98301.61,0,,,,
343155942,1,3,665,Bur_Dubai,Two-Wheelers,34,1,2,0,0,171413.66,0,,,,
343155943,1,3,777,Bur_Dubai,Two-Wheelers,32,2,1,1,0,136458.19,1,,,,
343155944,1,3,543,Bur_Dubai,Two-Wheelers,36,3,2,0,0,26019.59,0,,,,
343155945,1,3,506,Bur_Dubai,Two-Wheelers,34,4,1,1,1,159235.29,0,,,,
343155946,1,3,493,Bur_Dubai,Two-Wheelers,46,4,2,1,0,1907.66,0,,,,
343155947,1,3,652,Al_Sayed_Road,Two-Wheelers,75,10,2,1,1,114675.75,0,,,,
343155948,1,3,750,Al_Sayed_Road,Cars/Trucks,22,3,1,1,0,128643.35,1,,,,
343155949,1,3,729,Bur_Dubai,Cars/Trucks,30,9,2,1,0,151869.35,0,,,,
343155950,1,3,646,Bur_Dubai,Two-Wheelers,46,4,3,1,0,93251.42,1,,,,
343155951,1,3,635,Palm_Jumeirah,Two-Wheelers,28,3,2,1,1,156791.36,0,,,,
343155952,1,3,647,Al_Sayed_Road,Two-Wheelers,44,5,3,1,1,174205.22,1,,,,
343155953,1,3,808,Bur_Dubai,Cars/Trucks,45,7,2,1,0,147132.46,0,,,,
343155954,1,3,524,Bur_Dubai,Two-Wheelers,36,10,2,1,0,109614.57,0,,,,
343155955,1,3,769,Bur_Dubai,Cars/Trucks,29,8,2,1,1,172290.61,0,,,,
343155956,1,3,730,Al_Sayed_Road,Cars/Trucks,42,4,2,0,1,85982.47,0,,,,
343155957,1,3,515,Al_Sayed_Road,Cars/Trucks,35,10,1,0,1,121277.78,0,,,,
343155958,1,3,773,Al_Sayed_Road,Cars/Trucks,41,9,1,0,1,64595.25,0,,,,
343155959,1,3,814,Palm_Jumeirah,Cars/Trucks,29,8,2,1,1,197276.13,0,,,,
343155960,1,3,710,Al_Sayed_Road,Cars/Trucks,22,8,2,0,0,99645.04,0,,,,
343155961,1,3,413,Bur_Dubai,Cars/Trucks,34,9,2,0,0,6534.18,0,,,,
343155962,1,3,665,Bur_Dubai,Two-Wheelers,40,6,1,1,1,161848.03,0,,,,
343155963,1,3,623,Bur_Dubai,Two-Wheelers,44,6,2,0,0,167162.43,0,,,,
343155964,1,3,738,Bur_Dubai,Cars/Trucks,31,9,1,1,0,41970.72,0,,,,
343155965,1,3,528,Al_Sayed_Road,Cars/Trucks,36,7,2,1,0,60536.56,0,,,,
343155966,1,3,670,Al_Sayed_Road,Two-Wheelers,65,1,1,1,1,177655.68,1,,,,
343155967,1,3,622,Al_Sayed_Road,Two-Wheelers,46,4,2,1,1,30984.59,1,,,,
343155968,1,3,582,Palm_Jumeirah,Cars/Trucks,32,1,1,1,1,10054.53,0,,,,
343155969,1,3,785,Palm_Jumeirah,Two-Wheelers,36,2,1,0,1,36976.52,0,,,,
343155970,1,3,605,Al_Sayed_Road,Cars/Trucks,33,5,1,0,0,71862.79,0,,,,
343155971,1,3,479,Palm_Jumeirah,Cars/Trucks,35,9,1,1,0,99449.86,1,,,,
343155972,1,3,685,Palm_Jumeirah,Cars/Trucks,30,3,1,0,1,63082.88,0,,,,
343155973,1,3,538,Palm_Jumeirah,Cars/Trucks,39,7,2,1,0,27231.26,0,,,,
343155974,1,3,562,Bur_Dubai,Cars/Trucks,42,2,1,0,0,86797.41,0,,,,
343155975,1,3,675,Al_Sayed_Road,Cars/Trucks,36,9,1,0,1,22994.32,0,,,,
343155976,1,3,721,Palm_Jumeirah,Cars/Trucks,28,9,2,0,1,101300.94,1,,,,
343155977,1,3,628,Palm_Jumeirah,Two-Wheelers,30,9,2,1,1,74169.13,0,,,,
